,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hotels (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,UMC LTD T/A CHANCELLORS HOTEL AND CONFERENCE CENTRE,4026509,"3,477.46 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Technical Support,Science & Innovation Group - Science & Innovation Group,SINCLAIR KNIGHT MERZ EUROPE LTD,4026510,"8,566.52 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4026512,"24,533.78 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4026513,894.10 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,REDPOINT ENERGY LTD,4026515,"32,853.15 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,External Training,SEG Including Strategy - Energy Innovation Policy,GREEN THINKING (SERVICES) LTD,4026518,749.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GREEN TOMATO CARS LTD,4026519,"3,024.55 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026523,"214,292.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026524,"50,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026525,"52,975.52 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026526,"52,975.52 "
